(vehicle.car_4, crossed_left_to_right, ego_vehicle)
(vehicle.car_4, always_behind, ego_vehicle)
(vehicle.motorcycle_1, always_left_of, ego_vehicle)
(vehicle.car_10, always_right_of, ego_vehicle)
(vehicle.car_10, always_behind, ego_vehicle)
(human.pedestrian.adult_9, always_left_of, ego_vehicle)
(vehicle.car_23, always_right_of, ego_vehicle)
(vehicle.car_23, facing, rightward)
(vehicle.car_27, always_right_of, ego_vehicle)
(vehicle.car_27, facing, leftward)
(human.pedestrian.adult_7, always_right_of, ego_vehicle)
(vehicle.car_3, always_right_of, ego_vehicle)
(human.pedestrian.adult_2, always_left_of, ego_vehicle)
(human.pedestrian.adult_2, always_behind, ego_vehicle)
(human.pedestrian.adult_8, always_right_of, ego_vehicle)
(vehicle.car_12, always_right_of, ego_vehicle)
(vehicle.car_12, always_ahead_of, ego_vehicle)
(human.pedestrian.adult_6, always_right_of, ego_vehicle)
(vehicle.car_24, always_right_of, ego_vehicle)
(vehicle.car_13, always_right_of, ego_vehicle)
(vehicle.car_13, always_ahead_of, ego_vehicle)
(vehicle.bus.rigid_1, always_right_of, ego_vehicle)
